Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.042,-0.023,0.993,0.48,-1.08,-0.25
0.04,-0.024,0.996,0.47,-1.08,-0.25
0.042,-0.023,0.992,0.46,-1.09,-0.25
0.042,-0.022,0.993,0.46,-1.09,-0.25
0.04,-0.021,0.997,0.46,-1.09,-0.25
0.038,-0.024,0.997,0.46,-1.07,-0.24
0.039,-0.022,0.994,0.48,-1.04,-0.23
0.043,-0.024,0.995,0.46,-1.07,-0.25
0.037,-0.023,0.994,0.46,-1.07,-0.26
0.041,-0.024,0.994,0.46,-1.05,-0.25
0.042,-0.023,0.991,0.46,-1.07,-0.25
0.04,-0.022,0.996,0.46,-1.08,-0.25
0.037,-0.023,0.997,0.48,-1.07,-0.25
0.041,-0.022,0.995,0.46,-1.06,-0.25
0.042,-0.023,0.991,0.46,-1.08,-0.25
0.038,-0.023,0.995,0.47,-1.07,-0.25
0.04,-0.024,0.994,0.46,-1.07,-0.25
0.043,-0.022,0.992,0.46,-1.07,-0.25
0.041,-0.022,0.996,0.46,-1.07,-0.25
0.038,-0.023,0.999,0.46,-1.09,-0.25
0.04,-0.024,0.993,0.48,-1.06,-0.25
0.042,-0.021,0.992,0.46,-1.08,-0.25
0.039,-0.022,0.998,0.46,-1.07,-0.25
0.042,-0.022,0.997,0.46,-1.06,-0.25
0.042,-0.021,0.992,0.46,-1.08,-0.25
0.038,-0.023,0.999,0.46,-1.07,-0.25
0.039,-0.023,0.995,0.47,-1.06,-0.25
0.044,-0.021,0.991,0.46,-1.07,-0.25
0.039,-0.023,0.996,0.47,-1.08,-0.26
0.038,-0.023,0.998,0.46,-1.05,-0.25
0.043,-0.022,0.993,0.47,-1.07,-0.25
0.04,-0.021,0.996,0.46,-1.08,-0.25
0.038,-0.022,0.998,0.47,-1.07,-0.25
0.041,-0.023,0.993,0.46,-1.07,-0.25
0.042,-0.022,0.993,0.46,-1.08,-0.25
0.038,-0.022,0.997,0.47,-1.06,-0.24
0.04,-0.024,0.996,0.47,-1.07,-0.24
0.041,-0.022,0.992,0.46,-1.09,-0.25
0.038,-0.022,0.998,0.46,-1.08,-0.25
0.04,-0.024,0.995,0.47,-1.08,-0.24
0.043,-0.021,0.992,0.47,-1.08,-0.25
0.04,-0.022,0.994,0.46,-1.08,-0.24
0.038,-0.024,0.998,0.48,-1.07,-0.25
0.041,-0.023,0.992,0.46,-1.08,-0.26
0.039,-0.026,0.994,0.46,-1.07,-0.26
0.037,-0.024,0.995,0.48,-1.1,-0.25
0.043,-0.022,0.994,0.46,-1.08,-0.25
0.041,-0.022,0.994,0.48,-1.08,-0.25
0.039,-0.023,0.998,0.47,-1.11,-0.26
0.043,-0.021,0.993,0.47,-1.14,-0.25
0.045,-0.021,0.989,0.47,-1.12,-0.25
0.04,-0.022,0.999,0.48,-1.09,-0.25
0.043,-0.022,0.993,0.46,-1.08,-0.25
0.043,-0.021,0.992,0.48,-1.06,-0.25
0.042,-0.007,0.999,0.46,-1.02,1.74
0.02,-0.038,0.998,0.43,-1.18,-2.28
0.029,-0.041,0.988,0.39,-1.15,-0.54
0.045,-0.007,0.995,0.31,-1.24,-0.29
0.028,-0.043,0.996,0.42,-1.04,-0.52
0.033,-0.038,0.99,0.41,-1.08,1.44
0.06,-0.009,0.996,0.82,-1.01,-0.42
0.03,-0.042,0.997,0.46,-1.04,1.18
0.043,-0.034,0.991,0.49,-1.13,1.94
0.02,-0.041,0.994,0.4,-1.03,0.29
0.044,0.059,1.0,0.45,-1.09,-2.69
0.04,-0.012,0.995,0.38,-1.09,1.32
0.038,0.004,0.997,0.38,-1.0,0.26
0.099,0.002,1.005,0.47,-1.23,-0.3
0.036,-0.023,0.99,0.64,-0.86,-3.53
0.045,-0.018,0.987,0.48,-0.99,-1.93
-0.014,-0.063,0.998,0.36,-1.11,-0.81
0.06,0.064,0.997,0.39,-1.23,-1.51
0.02,-0.047,0.986,0.36,-1.19,-1.9
0.003,-0.101,1.0,0.52,-1.03,2.03
0.048,-0.112,0.992,0.41,-1.04,-0.81
0.04,-0.021,0.994,0.46,-1.09,-0.26
0.036,-0.028,0.997,0.43,-1.3,-0.25
0.064,-0.008,0.99,0.36,-1.11,0.27
0.232,-0.075,1.007,10.03,-10.19,-0.42
0.013,-0.127,1.038,1.76,2.26,2.21
0.011,-0.105,0.909,-0.46,0.39,-2.95
0.117,-0.113,0.999,2.74,-3.66,-3.54
0.053,-0.105,0.955,4.97,-3.58,-0.33
0.066,-0.077,0.922,4.33,-1.53,-1.86
-0.013,-0.024,0.96,0.69,-1.54,-2.76
0.062,-0.025,1.008,0.8,-2.24,-1.87
0.024,-0.031,1.054,0.52,-2.08,-0.74
-0.213,-0.104,0.998,1.71,1.39,1.67
0.051,0.001,0.914,-0.2,1.19,1.72
-0.022,-0.016,0.783,4.15,1.02,-3.97
0.095,-0.029,1.051,-2.16,-3.54,2.39
-0.083,-0.096,1.041,-3.17,-6.13,2.97
0.07,-0.083,0.98,-7.88,1.14,2.21
0.141,-0.07,0.852,0.16,0.7,-2.84
0.1,-0.069,1.021,-0.38,0.67,-0.71
0.04,-0.085,1.082,3.67,-2.39,-1.78
0.027,-0.064,1.077,0.91,6.56,0.7
0.009,-0.007,1.03,2.38,0.27,1.68
-0.059,0.014,0.94,-3.24,2.43,0.38
-0.127,-0.03,0.971,1.59,0.74,0.66
-0.147,-0.003,1.046,-1.93,2.79,1.08
-0.175,0.004,0.833,0.64,-1.79,-2.31
-0.07,0.024,0.885,-3.32,-2.13,-2.59
-0.086,-0.096,0.88,-1.93,-5.4,-3.83
-0.076,-0.062,1.039,3.47,-3.95,-1.65
-0.062,-0.058,1.126,-2.87,-4.02,-1.9
0.016,-0.071,1.006,4.06,-5.55,-1.98
0.056,-0.088,1.017,-3.49,-1.45,0.58
0.122,-0.087,1.024,-2.37,-0.29,0.86
0.104,-0.173,1.425,-13.49,3.74,0.7
0.057,-0.098,0.984,10.33,5.99,-1.16
0.118,0.032,1.156,14.86,-4.59,1.05
0.041,-0.026,0.998,0.58,-0.81,-2.92
0.04,-0.022,0.995,0.45,-1.09,-0.25
0.04,-0.024,0.992,0.46,-1.07,-0.24
0.037,-0.024,0.997,0.44,-1.07,-0.26
0.039,-0.022,0.994,0.42,-1.07,-0.25
0.04,-0.02,0.993,0.46,-1.07,-0.25
0.037,-0.022,0.996,0.41,-1.06,-0.26
0.037,-0.022,0.995,0.45,-1.09,-0.24
0.041,-0.021,0.992,0.41,-1.07,-0.26
0.038,-0.02,0.995,0.42,-1.07,-0.25
0.039,-0.021,0.995,0.46,-1.04,-0.25
0.04,-0.021,0.994,0.46,-1.07,-0.24
0.048,-0.007,0.998,0.47,-1.03,-0.26
0.037,-0.021,0.994,0.44,-1.01,-0.25
0.04,-0.022,0.992,0.46,-1.05,-0.25
0.037,-0.023,0.998,0.4,-1.03,-0.26
0.035,-0.022,0.996,0.43,-1.04,-0.25
0.039,-0.019,0.993,0.48,-1.08,-0.22
0.037,-0.022,0.997,0.44,-1.06,-0.25
0.037,-0.02,0.995,0.42,-1.05,-0.21
0.041,-0.018,0.991,0.39,-1.05,-0.26
0.037,-0.018,0.996,0.43,-1.06,-0.26
0.036,-0.02,1.0,0.45,-1.06,-0.25
0.039,-0.02,0.993,0.46,-1.05,-0.24
0.036,-0.019,0.994,0.44,-1.07,-0.25
0.037,-0.021,0.995,0.45,-1.07,-0.24
0.039,-0.021,0.991,0.43,-1.06,-0.26
0.037,-0.021,0.996,0.46,-1.07,-0.24
0.037,-0.024,0.995,0.38,-1.05,-0.28
0.04,-0.021,0.992,0.42,-1.05,-0.25
0.038,-0.021,0.994,0.45,-1.07,-0.24
0.039,-0.023,0.995,0.45,-1.07,-0.25
0.04,-0.02,0.992,0.45,-1.06,-0.25
0.037,-0.021,0.998,0.45,-1.07,-0.25
0.037,-0.022,0.996,0.45,-1.06,-0.25
0.04,-0.02,0.992,0.44,-1.07,-0.25
0.036,-0.021,0.996,0.42,-1.06,-0.25
0.036,-0.023,0.996,0.42,-1.06,-0.25
